河北频道,#genre#
河北农民,https://tv.pull.hebtv.com/jishi/nongminpindao.m3u8?t=2510710360&k=1c19f1e16256d45e9fdcb9b6725647cc
河北农民,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1020
河北农民,http://cdn001.tui8.de:9901/tsfile/live/1010_1.m3u8
河北农民,http://183.196.25.171:808/hls/22/index.m3u8
河北农民,http://27.185.1.27:8092/hls/16/index.m3u8
任丘文娱,https://jwcdnqx.hebyun.com.cn/live/rqtv2/1500k/tzwj_video.m3u8
梨园频道,http://119.147.118.55/tvcdn.stream3.hndt.com/tv/65b67b15017e1000258a2b2400000000_transios/playlist.m3u8?wsSecret=2827bfa0a3504584d40f5a49798ce6bd&wsTime=1703762725&wsSession=9c5c944c46ffd5c610efc255-170375228142437&wsIPSercert=c8b45c5d3c5f5688fa6fe4589c46d67e&wsiphost=local&wsBindIP=1
梨园频道,http://live.goodiptv.club/api/sxg.php?id=ly_4000
梨园频道,https://live.goodiptv.club/api/sxg.php?id=ly_4000
梨园频道,http://live.dxhmt.cn:9080/19903718786/3159ec673c114135816d45dd52ad7396.m3u8
梨园频道,http://60.25.112.61:8888/rtp/225.1.2.104:5002
梨园频道,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1077
梨园频道,http://117.10.52.134:5000/rtp/225.1.2.104:5002
梨园频道,http://60.223.72.92:8003/rtp/226.0.2.115:8832
梨园频道,http://117.28.3.197:4022/rtp/239.61.3.19:9634
梨园频道,http://cdn001.tui8.de:9901/tsfile/live/1021_1.m3u8
梨园频道,http://113.88.14.83:4022/rtp/239.77.1.100:5146
七彩戏剧,http://nas.jdshipin.com:8801/bst.php?id=qcxjhd8m/8000000
七彩戏剧,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000010/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000010&livemode=1&stbId=3
七彩戏剧,http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.20212021.tk.cdn.cloudflare.net/daili/liugongzi.php?id=qcxj_2000
戏曲频道,http://222.134.240.136:9901/tsfile/live/1058_1.m3u8
河北都市,http://tv.pull.hebtv.com/jishi/dushipindao.m3u8?t=2510710360&k=0a371e84fa6980927f5b617687e1ad11
河北都市,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13005/index.m3u8
河北都市,https://tv.pull.hebtv.com/jishi/dushipindao.m3u8?t=2510710360&k=0a371e84fa6980927f5b617687e1ad11
河北都市,http://cdn001.tui8.de:9901/tsfile/live/1006_1.m3u8
河北公共,https://tv.pull.hebtv.com/jishi/gonggongpindao.m3u8?t=2510710360&k=753a034a499730b224c99667ec91eb4e
河北公共,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13008/index.m3u8
河北公共,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1119
河北公共,http://cdn001.tui8.de:9901/tsfile/live/1009_1.m3u8
河北影视剧,https://tv.pull.hebtv.com/jishi/yingshijupindao.m3u8?t=2510710360&k=22da13f91d94e04e4935c5ed39dbdb62
河北影视剧,http://27.185.1.27:8092/hls/18/index.m3u8
河北影视剧,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13006/index.m3u8
河北影视剧,http://cdn001.tui8.de:9901/tsfile/live/1007_1.m3u8
石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8
石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8
石家庄新闻,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8
石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
